species
Apis
Belted Galloway Cattle (including White Galloway)
Bos
Capra
cattle
cow
Equus ferus
Felis catus
Feral Cat
Goat
Highland Cattle
Horse
Limax
ovine
Ovis
Oxen
sheep
Vicugna
